TZA	Tanzania	1989	2,162	2.162	24412000
NGA	Nigeria	1992	46,265	46.265	100162000
DJI	Djibouti	2001	0,366	0.366	733000
BHS	Bahamas	1960	0,41	0.41	110000
KAZ	Kazakhstan	1974	183,051	183.051	13870000
MLI	Mali	2006	1,081	1.081	13203000
PHL	Philippines	1954	5,331	5.331	21415000
MDA	Moldova	1993	15,846	15.846	4371000
BFA	Burkina Faso	2016	3,381	3.381	18646000
POL	Poland	2009	315,341	315.341	38352000
TTO	Trinidad and Tobago	1985	20,723	20.723	1170000
AUS	Australia	1879	1,455	1.455	2178966
AUS	Australia	1929	23,655	23.655	6399355
VEN	Venezuela	1926	1,07	1.07	3402545
GHA	Ghana	1991	4,21	4.21	15207000
SAU	Saudi Arabia	1941	1,81	1.81	2987401
AUT	Austria	1958	28,096	28.096	7008000
MDA	Moldova	1989	29,661	29.661	4348000
ALB	Albania	1995	2,085	2.085	3113000
LBN	Lebanon	1997	15,099	15.099	3658000
MKD	Macedonia	1996	11,732	11.732	1989000
IRN	Iran	1935	23,34	23.34	14169021
DZA	Algeria	1972	28,323	28.323	15286000
CYP	Cyprus	1991	5,144	5.144	783000
SWE	Sweden	1910	12,989	12.989	5492756
SDN	Sudan	2010	14,382	14.382	34545000
VNM	Vietnam	1917	1,737	1.737	17618952
COD	Democratic Republic of Congo	1994	1,699	1.699	40253000
NZL	New Zealand	2015	35,839	35.839	4615000
CRI	Costa Rica	2015	7,33	7.33	4848000
VUT	Vanuatu	1974	0,062	0.062	97000
RWA	Rwanda	1992	0,479	0.479	6702000
BWA	Botswana	1984	1,044	1.044	1031000
CAN	Canada	2004	586,469	586.469	31815000
ESP	Spain	2004	353,369	353.369	43308000
PLW	Palau	2017	0,229	0.229	18000
PSE	Palestine	2015	3,004	3.004	4529000
PRY	Paraguay	2012	5,173	5.173	6422000
MOZ	Mozambique	1967	1,871	1.871	8418000
VNM	Vietnam	1935	4,763	4.763	21206352
FRA	France	1958	266,208	266.208	44659000
UGA	Uganda	1953	0,209	0.209	5596000
AGO	Angola	1965	1,186	1.186	5771000
IDN	Indonesia	1996	255,069	255.069	199900992
SEN	Senegal	2017	11,312	11.312	15419000
TTO	Trinidad and Tobago	2012	45,31	45.31	1345000
BEN	Benin	1967	0,143	0.143	2735000
ALB	Albania	1956	0,839	0.839	1459000
CHE	Switzerland	1962	24,12	24.12	5487000
NZL	New Zealand	1939	4,463	4.463	1621539
TCD	Chad	1982	0,205	0.205	4718000
ROU	Romania	1950	19,419	19.419	16236000
GNQ	Equatorial Guinea	1980	0,059	0.059	250000
SSD	South Sudan	1971	0,415	0.415	3576000
GBR	United Kingdom	1812	36,937	36.937	14500244
BLR	Belarus	2014	63,794	63.794	9432000
SYR	Syria	1946	0,022	0.022	3210159
COD	Democratic Republic of Congo	1957	3,331	3.331	14161000
LIE	Liechtenstein	2018	0,153	0.153	38000
UKR	Ukraine	2017	223,22	223.22	44488000
BLZ	Belize	1959	0,04	0.04	89000
LIE	Liechtenstein	2001	0,215	0.215	34000
BOL	Bolivia	1991	5,974	5.974	7011000
ARM	Armenia	1980	17,488	17.488	3100000
TCD	Chad	1964	0,099	0.099	3247000
DZA	Algeria	1987	83,884	83.884	23774000
VEN	Venezuela	1942	11,549	11.549	4252551
BEL	Belgium	1846	8,966	8.966	4292667
DNK	Denmark	1909	8,006	8.006	2845289
BLZ	Belize	2012	0,476	0.476	338000
TUR	Turkey	1952	10,475	10.475	22509000
ZWE	Zimbabwe	1915	0,986	0.986	2123454
BRN	Brunei	1982	2,092	2.092	206000
IRQ	Iraq	2011	135,274	135.274	30725000
TON	Tonga	1999	0,11	0.11	97000
VEN	Venezuela	1960	57,017	57.017	8142000
BOL	Bolivia	1979	4,73	4.73	5462000
SEN	Senegal	1982	3,037	3.037	5910000
